Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,2025-10-07,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Colombia,COL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.069232271,1.081149257,-0.101221554,0.695264947,1.36014068,-8.509494776,9.592978284,6.187799537,-0.410230298,0.656437667
Comoros,COM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.138354877,0.693560202,3.512927332,2.047302278,1.654156146,1.984627776,0.715538092,0.844578877,1.101386277,1.451231024
Cabo Verde,CPV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.92263125,4.248162326,4.482210931,3.601523496,6.804495317,-20.89375234,6.62540766,15.15450811,4.868557899,6.751542021
Costa Rica,CRI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.5566433,3.156070578,3.178719703,1.691934104,1.562556413,-4.934442272,7.388232264,4.103454958,4.62275387,3.82533391
Caribbean small states,CSS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.770911745,-3.631551226,-1.351394221,0.277508967,0.113349961,-9.442779322,6.00683695,14.55415214,8.46304533,12.86598368
Cuba,CUB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.537537855,0.597183645,1.970754703,2.436568386,0.053218664,-10.73800174,1.746990472,2.348789668,-1.574383591,
Curacao,CUW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.858779915,-2.111162107,-1.59116273,-1.588630519,-2.041096052,-17.12567014,5.946443256,9.63038739,0.320174531,
Cayman Islands,CYM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.360803237,0.85449284,0.889645894,2.044071292,1.776418229,-6.832628429,2.774150907,2.978027288,2.292143288,
Cyprus,CYP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.009420119,6.08587845,4.771721613,4.983193427,4.448955603,-4.311453246,10.35516642,5.754606163,1.167756018,2.034048295
Czechia,CZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.752624064,2.384054255,4.894550195,2.486987701,3.158748029,-5.534919698,5.931069689,1.244094732,-1.820884038,0.95198948
Germany,DEU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.776507672,1.472292617,2.332865961,0.813017363,0.760402195,-4.173453235,3.626128709,0.641609114,-0.389988691,0.228526174
Djibouti,DJI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.458368313,5.333315297,3.73971531,3.108615401,3.913784409,-0.306867603,2.911698993,3.700803899,5.896169285,4.523430347
Dominica,DMA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.424159288,2.619035144,-6.046090042,3.450331076,4.398314737,-15.32343686,5.961605599,11.0179611,4.1446789,2.522885519
Denmark,DNK,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.385666322,2.271801518,2.395590651,1.356196002,1.347792453,-2.066138377,6.91766402,0.743682018,1.738313259,3.155127057
Dominican Republic,DOM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.76452491,5.540409787,2.809319218,5.953142055,3.815726823,-8.884672217,12.83190804,4.232891968,1.285648258,4.067342605
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.099620619,1.785940647,-0.541667024,-0.54601958,-0.939992962,-6.612475097,2.132636327,1.968251881,2.551203019,1.865519889
East Asia & Pacific (excluding high income),EAP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.848668179,5.716439816,5.861677762,5.854548574,5.304752203,0.887897595,7.381366627,3.302392945,5.059420698,4.786388941
Early-demographic dividend,EAR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.989455932,3.024512913,3.337605836,2.582037587,1.14300022,-5.372724644,6.379585698,4.781148745,3.39061731,2.396518727
East Asia & Pacific,EAS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.97108642,3.913296529,4.311342336,4.154921945,3.506054708,-0.461919731,6.084279265,2.795549326,3.982849745,3.724979872
