Country Name,Country Code,Region,Year,GDP_Per_Capita,GDP_Per_Capita_Growth_Annual_Pct,Female_PostSecondary_Education_Pct,Male_PostSecondary_Education_Pct,Labour_Force_Participation_Female_Pct,Labour_Force_Participation_Male_Pct,Maternal_Mortality_Ratio_Per_100k,Women_in_Parliament_Pct,Adult_Literacy_Rate_Female_Pct,Adult_Literacy_Rate_Male_Pct,Adult_Literacy_Rate_Combined_Pct,Gender_Discrimination_Law,Gender_Discrimination_Law_Binary,Maternity_Leave_Days,Paternity_Leave_Days,Shared_Parental_Leave_Days,Youth_Not_In_Edu_Employment_Training_Female_Pct,Youth_Not_In_Edu_Employment_Training_Male_Pct,Youth_Not_In_Edu_Employment_Training_Total_Pct,Unemployment_Female_Pct,Unemployment_Male_Pct,Unemployment_Total_Pct,wei_edu_score,wei_econ_score,wei_safety_score,wei_score,Financial_Inclusion_Female,Financial_Inclusion_Male
Algeria,DZA,Middle East & North Africa,2019,4468.453419,-0.939992962,0,0,14.623,68.554,73,25.75757576,74.20999908,0,0,No,0,98,3,0,30.219,10.569,20.142,21.677,10.337,12.259,0.3710499954,0.33583869047619047,0.489039831284145,0.39352210298957935,0,0
Algeria,DZA,Middle East & North Africa,2020,3743.541952,-6.612475097,0,0,13.673,64.347,97,25.75757576,74.20999908,0,0,No,0,98,3,0,31.09,12.478,21.562,24.032,12.026,14.057,0.3710499954,0.32773273809523806,0.4837029400233045,0.3889051205367927,0,0
Algeria,DZA,Middle East & North Africa,2021,4160.559267,2.132636327,0,0,13.843,64.797,79,8.108108108,74.20999908,0,0,No,0,98,3,0,30.136,11.07,20.391,23.351,11.638,13.63,0.3710499954,0.3329839285714286,0.3700424907889348,0.3575766074555969,0,0
Algeria,DZA,Middle East & North Africa,2022,4961.552577,1.968251881,0,0,14.092,67.609,64,8.108108108,74.20999908,0,0,No,0,98,3,0,29.963,10.795,20.182,22.126,10.39,12.346,0.3710499954,0.3348452380952381,0.37337804782696016,0.3593148056592667,0,0
Algeria,DZA,Middle East & North Africa,2023,5364.02795,2.551203019,0,0,14.132,67.096,62,7.862407862,74.20999908,0,0,No,0,98,3,0,30.001,10.531,20.072,21.144,9.79,11.701,0.3710499954,0.33483095238095234,0.3721847871253636,0.3589265204339424,0,0
Algeria,DZA,Middle East & North Africa,2024,5631.179991,1.865519889,0,0,13.988,66.498,76.11111111111111,7.862407862,74.20999908,0,0,No,0,98,3,0,30.016,10.525,20.071,20.828,9.526,11.427,0.3710499954,0.3341595238095238,0.3690468927266286,0.3576755681241142,0,0
American Samoa,ASM,East Asia & Pacific,2015,12727.41027,4.296623367,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0
American Samoa,ASM,East Asia & Pacific,2016,12843.33429,-0.488137584,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0
American Samoa,ASM,East Asia & Pacific,2017,11863.68395,-5.799364048,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0
American Samoa,ASM,East Asia & Pacific,2018,12552.05469,4.038507121,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0
